Probe Set Name	Description
100038636_at	RIKEN cDNA B230344G16 gene
100038638_at	predicted gene 10474
100038644_at	predicted gene 10667
100038647_at	predicted gene 10572
100038648_at	predicted gene 10465
100038649_at	predicted gene 10690
100038651_at	RIKEN cDNA D130062J21 gene
100038652_at	predicted gene 10688
100038653_at	predicted gene 10538
100038657_at	RIKEN cDNA 7420461P10 gene
100038659_at	predicted gene 10872
100038662_at	RIKEN cDNA D130046C19 gene
100038666_at	predicted gene 12298
100038667_at	predicted gene 14105
100038668_at	predicted gene 12526
100038671_at	predicted gene 10860
100038674_at	predicted gene 10764
100038681_at	predicted gene 10777
100038683_at	predicted gene 10775
100038688_at	predicted gene 10724
100038689_at	predicted gene 10421
100038691_at	predicted gene 10344
100038693_at	predicted gene 10565
100038695_at	predicted gene 10555
100038696_at	predicted gene 10866
100038697_at	predicted gene 10912
100038699_at	predicted gene 10754
100038700_at	predicted gene 14488
100038707_at	predicted gene 10388
100038708_at	predicted gene 10855
100038709_at	predicted gene 10789
100038711_at	predicted gene 10309
100038712_at	predicted gene 10516
100038713_at	predicted gene 10432
100038714_at	predicted gene 15401
100038717_at	predicted gene 10826
100038718_at	predicted gene 10494
100038722_at	predicted gene 10305
100038724_at	predicted gene 10304
100038725_at	predicted gene 9766
100038728_at	predicted gene 10373
100038730_at	predicted gene 10387
100038732_at	predicted gene 11681
100038734_at	predicted gene 10845
100038735_at	predicted gene 10384
100038739_at	predicted gene 10615
100038746_at	predicted gene 1976
100038854_at	cDNA sequence BC1179090
100038860_at	olfactory receptor 239
100038862_at	butyrophilin-like 1
100038909_at	predicted gene 14548
100038941_at	vomeronasal 2, receptor 121
100038947_at	signal-regulatory protein beta 1-like
100039062_at	nuclear assembly factor 1 homolog pseudogene
100039139_at	coiled-coil domain containing 152
100039211_at	predicted gene 10649
100039350_at	predicted gene 16500
100039478_at	predicted gene 11810
100039532_at	predicted pseudogene 10029
100039545_at	predicted gene 15109
100039641_at	RIKEN cDNA E330012B07 gene
100039672_at	microseminoprotein, prostate associated
100039681_at	zinc finger, CW type with PWWP domain 2
100039691_at	predicted gene 2373
100039724_at	predicted gene 16509
100039739_at	RIKEN cDNA A430060F13 gene
100039757_at	predicted gene 10153
100039781_at	histidine rich carboxyl terminus 1
100039795_at	immunoglobulin-like domain containing receptor 2
100039801_at	claudin 22-like
100039901_at	RIKEN cDNA 2810407A14 gene
100039904_at	X-linked lymphocyte-regulated protein PM1-like
100039968_at	predicted gene 12942
100039988_at	predicted gene 11826
100040018_at	predicted pseudogene 9835
100040044_at	predicted gene 2568
100040049_at	RIKEN cDNA 1810010D01 gene
100040201_at	predicted gene 10229
100040213_at	predicted gene 2666
100040214_at	predicted gene 10228
100040220_at	eukaryotic translation initiation factor 2, subunit 2 (beta) pseudogene
100040233_at	predicted gene 10334
100040244_at	serine/threonine/tyrosine interaction protein pseudogene
100040248_at	predicted gene 11563
100040260_at	predicted pseudogene 1862
100040268_at	olfactory receptor 157
100040297_at	predicted gene 2695
100040320_at	predicted gene 2710
100040322_at	RIKEN cDNA 3830408C21 gene
100040447_at	RIKEN cDNA 1700036A12 gene
100040591_at	potassium inwardly-rectifying channel, subfamily J, member 13
100040608_at	Fanconi anemia, complementation group F
100040766_at	HEAT repeat containing 7B1
100040843_at	cytochrome P450, family 4, subfamily a, polypeptide 32
100040851_at	predicted gene 9767
100040882_at	RIKEN cDNA 1700017G19 gene
100040999_at	RuvB-like protein 1 pseudogene
100041085_at	RIKEN cDNA G630090E17 gene
100041098_at	predicted gene 15431
100041106_at	predicted gene 3141
100041121_at	predicted pseudogene 10144
100041194_at	AHNAK nucleoprotein 2
100041224_at	predicted gene 3213
100041294_at	predicted gene 3258
100041449_at	cytochrome P450, subfamily 3A, polypeptide 59
100041480_at	myelin basic protein expression factor 2, repressor pseudogene
100041488_at	predicted gene 11937
100041581_at	zinc finger with KRAB and SCAN domains 16
100041598_at	predicted gene 3424
100041697_at	predicted gene 14719
100041948_at	predicted gene 9800
100042008_at	predicted pseudogene 9794
100042054_at	predicted gene 3642
100042056_at	RIKEN cDNA 9130019P16 gene
100042057_at	predicted gene 3643
100042069_at	predicted gene 15210
100042150_at	neuregulin 2
100042165_at	cDNA sequence BC005561
100042332_at	RIKEN cDNA 2810410L24 gene
100042372_at	T cell receptor alpha variable 2
100042424_at	predicted gene 3837
100042450_at	predicted gene, 16532
100042464_at	RIKEN cDNA 2610203C20 gene
100042514_at	small proline-rich protein 2A3
100042605_at	predicted gene 3925
100042625_at	predicted gene 3934
100042679_at	predicted gene 16386
100042784_at	PR domain containing 11
100042807_at	predicted gene 9781
100042814_at	apolipoprotein L 7d
100042855_at	predicted gene 10267
100042918_at	predicted pseudogene 9763
100042921_at	vomeronasal 2, receptor 51
100042948_at	mitochondrial ribosomal protein S18B pseudogene
100042959_at	predicted gene 4130
100043040_at	RIKEN cDNA 1110002L01 gene
100043057_at	transmembrane protein 207
100043123_at	predicted gene 11710
100043133_at	RIKEN cDNA 9130023H24 gene
100043194_at	sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 2
100043217_at	predicted gene 10237
100043254_at	neuropeptide S
100043272_at	RIKEN cDNA 5430417L22 gene
100043308_at	T cell receptor alpha variable 14N-3
100043314_at	T cell immunoreceptor with Ig and ITIM domains
100043315_at	uncharacterized LOC100043315
100043322_at	T cell receptor alpha variable 12-2
100043335_at	eukaryotic translation initiation factor 3, subunit I pseudogene
100043404_at	predicted gene 4416
100043424_at	predicted gene 14005
100043507_at	predicted gene 15776
100043580_at	predicted gene 4532
100043582_at	expressed sequence AU016765
100043597_at	Snf2-related CREBBP activator protein
100043609_at	predicted gene 14207
100043674_at	predicted gene 9840
100043682_at	predicted gene 10584
100043757_at	zinc finger protein 831
100043771_at	predicted pseudogene 10651
100043772_at	predicted gene 4636
100043805_at	predicted pseudogene 10224
100043861_at	RIKEN cDNA 4930431A04 gene
100043871_at	predicted gene 4701
100043899_at	R3H domain containing-like
100043902_at	Six3 opposite strand transcript 1
100043911_at	protein phosphatase 4, regulatory subunit 1-like, pseudogene
100044193_at	uncharacterized LOC100044193
100044509_at	predicted gene 14378
100044526_at	28S ribosomal protein S14, mitochondrial-like
100045778_at	RIKEN cDNA 9930005F22 gene
100045792_at	epithelial cell transforming sequence 2 oncogene-like
100046034_at	predicted gene 14279
100047183_at	protein AHNAK2-like
100048534_at	WD repeat domain 96
100048658_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43
100048895_at	RIKEN cDNA 9330020H09 gene
100048926_at	predicted gene 12945
100049164_at	RIKEN cDNA B130046B21 gene
100049549_at	microRNA 181d
100061_at	leucine rich repeat containing 19
100066_at	cytochrome P450, family 2, subfamily j, polypeptide 11
100072_at	calmodulin binding transcription activator 1
100073351_at	Yy2 transcription factor
100087_at	KTI12 homolog, chromatin associated (S. cerevisiae)
100088_at	regulator of chromosome condensation 1
100090_at	zinc finger and BTB domain containing 48
100093700_at	predicted gene 10400
100101484_at	T cell receptor alpha constant
100101919_at	dynein, axonemal, heavy chain 7C
100101940_at	T cell receptor alpha variable 21/DV12
100101942_at	T cell receptor delta variable 2-1
100102_at	proprotein convertase subtilisin/kexin type 9
100114901_at	T cell receptor delta variable 4
100115376_at	T cell receptor delta joining 1
100121_at	tudor domain containing 7
100123473_at	T cell receptor delta, constant region
100124295_at	T cell receptor alpha joining 57
100124339_at	T cell receptor alpha joining 49
100124344_at	T cell receptor alpha joining 44
100124347_at	T cell receptor alpha joining 41
100124452_at	microRNA 598
100124467_at	microRNA 568
100124468_at	microRNA 653
100124470_at	microRNA 92b
100124476_at	microRNA 504
100124481_at	microRNA 190b
100124494_at	microRNA 421
100124660_at	T cell receptor beta, variable 10
100125339_at	RIKEN cDNA A230020J21 gene
100125586_at	vomeronasal 2, receptor 2
100125931_at	RIKEN cDNA A130049A11 gene
100126034_at	predicted gene 10644
100126226_at	RIKEN cDNA 5430421N21 gene
100126244_at	predicted gene 13262
100126434_at	T cell receptor gamma joining 4
100126458_at	T cell receptor alpha variable 8n-2
100126460_at	T cell receptor alpha variable 13N-4
100126462_at	T cell receptor alpha variable 4-2
100126777_at	predicted gene, 20580
100126824_at	SCO cytochrome oxidase deficient homolog 2 (yeast)
100126874_at	predicted gene 9928
100127111_at	small nucleolar RNA, C/D box 22
100129_at	G protein-coupled receptor 153
100134990_at	selenoprotein K pseudogene
100141474_at	RIKEN cDNA 4933428G20 gene
100155_at	expressed sequence AI481877
100163_at	platelet-activating factor acetylhydrolase 2
100165_at	expressed sequence AI507597
100169_at	phosphatase and actin regulator 4
100177_at	zinc finger, MYM-type 6
100182_at	AT-hook transcription factor
100191037_at	keratin associated protein 10-4
100198_at	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)
100201_at	transmembrane protein 64
100206_at	ADP-ribosylhydrolase like 2
100210_at	GPN-loop GTPase 2
100213_at	RUN and SH3 domain containing 2
100216533_at	small nucleolar RNA, C/D box 55
100216534_at	small nucleolar RNA, C/D box 96A
100216537_at	small nucleolar RNA, C/D box 104
100216540_at	small nucleolar RNA, C/D box 95
100217416_at	small nucleolar RNA, H/ACA box 2B
100217417_at	small nucleolar RNA, H/ACA box 34
100217418_at	small nucleolar RNA, H/ACA box 44
100217419_at	small nucleolar RNA, H/ACA box 52
100217424_at	small nucleolar RNA, C/D box 38A
100217426_at	small nucleolar RNA, C/D box 49B
100217427_at	small nucleolar RNA, C/D box 52
100217428_at	small nucleolar RNA, C/D box 57
100217445_at	small nucleolar RNA, C/D box 8
100217446_at	small nucleolar RNA, C/D box 47
100217448_at	small Cajal body-specific RNA 8
100217449_at	small nucleolar RNA, H/ACA box 36B
100217451_at	small nucleolar RNA, H/ACA box 7A
100217453_at	small nucleolar RNA, C/D box 16A
100217454_at	small nucleolar RNA, C/D box 37
100217455_at	small nucleolar RNA, C/D box 49A
100217456_at	small nucleolar RNA, C/D box 53
100217460_at	small nucleolar RNA, C/D box 85
100217464_at	small nucleolar RNA, H/ACA box 41
100226_at	syntaxin 12
100233175_at	cDNA sequence AK010878
100233207_at	predicted gene, 17359
100270707_at	predicted gene 14379
100273_at	oxysterol binding protein-like 9
100294583_at	family with sequence similarity 150, member B
100302498_at	small nucleolar RNA, H/ACA box 21
100302565_at	small nucleolar RNA, C/D box 68
100302592_at	small nucleolar RNA, C/D box 14A
100302594_at	small nucleolar RNA, C/D box 14E
100302730_at	gon-4-like pseudogene
100303646_at	snoRNA AF357355
100303738_at	RIKEN cDNA D030025P21 gene
100303739_at	predicted gene 10844
100303740_at	small nucleolar RNA, H/ACA box 75
100303746_at	small nucleolar RNA, H/ACA box 20
100303747_at	predicted gene 12238
100303751_at	small nucleolar RNA, H/ACA box 31
100306943_at	small Cajal body-specific RNA 1
100306944_at	small nucleolar RNA, H/ACA box 73a
100306945_at	small nucleolar RNA, H/ACA box 73b
100306955_at	small nucleolar RNA, H/ACA box 43
100310809_at	zinc finger protein 51 pseudogene
100310813_at	small nucleolar RNA, H/ACA box 16A
100312473_at	vomeronasal 1 receptor 86
100312484_at	vomeronasal 1 receptor 196
100312485_at	vomeronasal 1 receptor 221
100312987_at	predicted gene, 17252
100316688_at	microRNA 1929
100316717_at	microRNA 1839
100316736_at	microRNA 599
100316932_at	small nucleolar RNA, H/ACA box 28
100317_at	expressed sequence AU040320
100322896_at	predicted gene, 17384
100328588_at	Nup62-Il4i1 protein
100336_at	protein phosphatase 1, regulatory (inhibitor) subunit 8
100340_at	sphingomyelin phosphodiesterase, acid-like 3B
100342_at	family with sequence similarity 46, member B
100379145_at	small nucleolar RNA, H/ACA box 23
100383_at	BSD domain containing 1
100415785_at	predicted gene 11559
100416706_at	expressed sequence AA987161
100417514_at	alcohol dehydrogenase 6B (class V)
100417675_at	NLR family, pyrin domain containing 5 pseudogene
100418235_at	proteasome (prosome, macropain) subunit, alpha type 6 pseudogene
100434_at	solute carrier family 44, member 1
100465_at	MOB kinase activator 3C
100470_at	L-amino acid oxidase 1
100494_at	zinc finger, AN1-type domain 2A
100502590_at	RIKEN cDNA 4930469G21 gene
100502698_at	RIKEN cDNA 1700021K19 gene
100502699_at	predicted gene, 19328
100502700_at	expressed sequence AV039307
100502704_at	predicted gene, 19331
100502723_at	testis specific gene A8
100502777_at	zinc finger protein 64-like
100502818_at	uncharacterized LOC100502818
100502829_at	predicted gene 9899
100502841_at	RIKEN cDNA 5430411K18 gene
100502846_at	predicted gene, 19410
100502861_at	coiled-coil domain containing 13
100502876_at	potassium large conductance calcium-activated channel, subfamily M, beta member 3
100502887_at	olfactory receptor 331
100502921_at	predicted gene 10142
100502936_at	RIKEN cDNA E330021D16 gene
100502942_at	predicted gene 4814
100502953_at	predicted gene 10100
100502965_at	NA
100503002_at	uncharacterized LOC100503002
100503003_at	predicted gene, 17484
100503012_at	cytochrome c oxidase subunit 7B, mitochondrial-like
100503019_at	predicted gene 16551
100503041_at	PDZ domain containing 7
100503043_at	armadillo repeat containing, X-linked 4
100503044_at	RIKEN cDNA A730020M07 gene
100503047_at	eukaryotic translation initiation factor 1A, X-chromosomal-like
100503055_at	60S ribosomal protein L29-like
100503085_at	kelch-like 3 (Drosophila)
100503127_at	60S ribosomal protein L15-like
100503181_at	uncharacterized LOC100503181
100503185_at	BTB (POZ) domain containing 8
100503192_at	ADP-ribosylation factor 1-like
100503240_at	predicted gene 15070
100503261_at	predicted gene, 19618
100503266_at	60S ribosomal protein L26-like
100503298_at	predicted gene, 19631
100503311_at	RIKEN cDNA 1700027A23 gene
100503337_at	predicted gene 9895
100503359_at	RIKEN cDNA 5530401N12 gene
100503361_at	transmembrane protein 95
100503386_at	predicted gene 4980
100503427_at	predicted gene 10390
100503432_at	60S ribosomal protein L23-like
100503467_at	expressed sequence AA667203
100503486_at	olfactory receptor 936
100503495_at	RIKEN cDNA A930016O22 gene
100503545_at	predicted gene 600
100503562_at	tetratricopeptide repeat domain 6
100503565_at	predicted gene 9926
100503605_at	hemoglobin subunit beta-1-like
100503613_at	RIKEN cDNA 5031434C07 gene
100503615_at	NA
100503659_at	downstream of Stk11
100503695_at	uncharacterized LOC100503695
100503696_at	uncharacterized protein C2orf16-like
100503720_at	uncharacterized LOC100503720
100503724_at	predicted gene 15118
100503759_at	predicted gene 5084
100503793_at	uncharacterized LOC100503793
100503794_at	predicted gene 9920
100503799_at	predicted pseudogene 7931
100503802_at	predicted gene 10419
100503803_at	predicted gene, 17434
100503812_at	RIKEN cDNA 3300002A11 gene
100503842_at	RIKEN cDNA 2410022M11 gene
100503849_at	RIKEN cDNA 1700011J10 gene
100503879_at	predicted gene 5901
100503881_at	60S ribosomal protein L30-like
100503884_at	coiled-coil domain containing 149
100503895_at	tryptase alpha/beta 1
100503915_at	predicted gene 10345
100503956_at	EVI5-like protein-like
100503966_at	uncharacterized LOC100503966
100503991_at	acid phosphatase, testicular
100504005_at	predicted gene, 20010
100504019_at	predicted gene, 20017
100504039_at	uncharacterized LOC100504039
100504061_at	RIKEN cDNA 8030451A03 gene
100504104_at	predicted gene 16062
100504140_at	RIKEN cDNA 4930412M03 gene
100504156_at	family with sequence similarity 181, member A
100504157_at	cytochrome c oxidase, subunit VIIc pseudogene
100504162_at	protease, serine, 51
100504164_at	CKLF-like MARVEL transmembrane domain containing 1
100504178_at	RIKEN cDNA A030003K02 gene
100504186_at	RIKEN cDNA C230013L11 gene
100504195_at	MICAL C-terminal like
100504196_at	predicted gene 10023
100504207_at	predicted gene 1082
100504225_at	predicted gene 9828
100504234_at	predicted gene 221
100504250_at	ubiquitin-conjugating enzyme E2 pseudogene
100504285_at	abhydrolase domain containing 12B
100504309_at	RIKEN cDNA 2010003O02 gene
100504341_at	predicted gene, 20184
100504360_at	RIKEN cDNA D730003I15 gene
100504399_at	Riken cDNA C130021I20 gene
100504404_at	histocompatibility 2, class II antigen E alpha, pseudogene
100504406_at	predicted gene 10617
100504423_at	uncharacterized LOC100504423
100504464_at	RIKEN cDNA E230016K23 gene
100504486_at	ganglioside-induced differentiation-associated-protein 10
100504518_at	RIKEN cDNA 3425401B19 gene
100504527_at	predicted gene 10374
100504592_at	RIKEN cDNA 1700104B16 gene
100504594_at	RIKEN cDNA A630012P03 gene
100504608_at	protein FAM119B-like
100504611_at	predicted gene 10495
100504632_at	60S ribosomal protein L13a-like
100504650_at	RIKEN cDNA A730085E03 gene
100504651_at	uncharacterized LOC100504651
100504663_at	autophagy related 14
100504696_at	predicted gene, 20359
100504715_at	transmembrane protein with metallophosphoesterase domain
100504733_at	RIKEN cDNA A730018C14 gene
100504779_at	uncharacterized LOC100504779
100505050_at	NA
100515_at	zinc finger protein 518B
100526510_at	microRNA 3107
100526546_at	microRNA 3068
100529074_at	small nucleolar RNA, H/ACA box 33
100529076_at	small nucleolar RNA, C/D box 42A
100529077_at	small nucleolar RNA, C/D box 42B
100532_at	RELT-like 1
100535_at	2'-5' oligoadenylate synthetase 1D
100554_at	expressed sequence AA792892
100559_at	UDP glucuronosyltransferase 2 family, polypeptide B38
100561_at	solute carrier family 15, member 4
100579147_at	predicted gene 10619
100604_at	leucine rich repeat containing 8 family, member C
100608_at	nucleolar complex associated 4 homolog (S. cerevisiae)
100609_at	NOL1/NOP2/Sun domain family, member 5
100637_at	NEDD4 binding protein 2-like 1
100647_at	uroplakin 3B
100662_at	RIKEN cDNA D930016D06 gene
100678_at	phosphoserine phosphatase
100683_at	transformation/transcription domain-associated protein
100689_at	spondin 2, extracellular matrix protein
100689703_at	RIKEN cDNA 9330133O14 gene
100705_at	acetyl-Coenzyme A carboxylase beta
100710_at	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)
100715_at	PAP associated domain containing 4
100727_at	UDP glucuronosyltransferase 2 family, polypeptide B34
100732_at	microtubule-associated protein, RP/EB family, member 3
100736249_at	mistral
100737_at	DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)
100756_at	ubiquitin specific peptidase 30
100763_at	ubiquitin protein ligase E3C
100764_at	RIKEN cDNA 1110008J03 gene
100775173_at	immunoglobulin heavy variable V1-74
100775175_at	immunoglobulin heavy variable V1-82
100855_at	TBC1 domain family, member 14
100861491_at	5S RNA 20
100861531_at	45S pre-ribosomal RNA
100861571_at	Im snoRNA 2
100861572_at	Im snoRNA 3
100861595_at	uncharacterized LOC100861595
100861596_at	zinc finger protein 791-like
100861601_at	zinc finger protein 120-like
100861616_at	uncharacterized LOC100861616
100861625_at	myosin-XV-like
100861639_at	uncharacterized LOC100861639
100861722_at	uncharacterized LOC100861722
100861726_at	uncharacterized LOC100861726
100861910_at	uncharacterized LOC100861910
100861916_at	zinc finger protein 292-like
100861934_at	uncharacterized LOC100861934
100861952_at	uncharacterized LOC100861952
100861990_at	histone deacetylase 9-like
100862004_at	NA
100862057_at	uncharacterized LOC100862057
100862144_at	uncharacterized LOC100862144
100862174_at	mucin-2-like
100862181_at	ubiquitin-conjugating enzyme E2 L3-like
100862213_at	NA
100862255_at	uncharacterized LOC100862255
100862303_at	uncharacterized LOC100862303
100862307_at	uncharacterized LOC100862307
100862319_at	NA
100900_at	HscB iron-sulfur cluster co-chaperone homolog (E. coli)
100910_at	chondroitin polymerizing factor 2
100929_at	tRNA-yW synthesizing protein 1 homolog (S. cerevisiae)
100952_at	elastin microfibril interfacer 1
100972_at	RAB28, member RAS oncogene family
100978_at	nuclear transcription factor, X-box binding-like 1
100986_at	A kinase (PRKA) anchor protein (yotiao) 9
101023_at	zinc finger protein 513
101095_at	zinc finger protein 282
101100_at	tubulin tyrosine ligase-like family, member 3
101113_at	sorting nexin family member 21
101118_at	transmembrane protein 168
101122_at	RNA pseudouridylate synthase domain containing 3
101142_at	integrin alpha FG-GAP repeat containing 2
101148_at	RIKEN cDNA B630005N14 gene
101185_at	protection of telomeres 1A
101187_at	poly (ADP-ribose) polymerase family, member 11
101197_at	zinc finger protein 956
101202_at	HEPACAM family member 2
101206_at	transcriptional adaptor 3
101214_at	transformer 2 alpha homolog (Drosophila)
101240_at	WD repeat domain 91
101314_at	RIKEN cDNA 6720456B07 gene
101320_at	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4
101351_at	EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase
101358_at	F-box and leucine-rich repeat protein 14
101401_at	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9
101434_at	carcinoembryonic antigen-related cell adhesion molecule 15
101437_at	DEAH (Asp-Glu-Ala-His) box polypeptide 32
101471_at	PHD and ring finger domains 1
101476_at	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1
101488_at	solute carrier organic anion transporter family, member 2b1
101489_at	resistance to inhibitors of cholinesterase 8 homolog (C. elegans)
101490_at	inositol polyphosphate-5-phosphatase F
101497_at	pleckstrin homology domain containing, family G (with RhoGef domain) member 2
101502_at	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7
101513_at	MOB kinase activator 2
101533_at	kallikrein related-peptidase 9
101540_at	protein kinase D2
101543_at	WT1-interacting protein
101544_at	zinc finger protein 575
101565_at	RIKEN cDNA 6330503K22 gene
101568_at	vaccinia related kinase 3
101592_at	elongation factor Tu GTP binding domain containing 1
101602_at	expressed sequence AI467606
101604_at	RIKEN cDNA E430018J23 gene
101612_at	glutamate-rich WD repeat containing 1
101613_at	NLR family, pyrin domain containing 6
101631_at	PWWP domain containing 2B
101685_at	SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae)
101700_at	tripartite motif-containing 68
101706_at	nuclear mitotic apparatus protein 1
101739_at	PC4 and SFRS1 interacting protein 1
101744_at	RIKEN cDNA C330005M16 gene
101772_at	anoctamin 1, calcium activated chloride channel
101809_at	sprouty-related, EVH1 domain containing 3
101831_at	RIKEN cDNA C230052I12 gene
101835_at	expressed sequence AW146154
101861_at	integrator complex subunit 4
101867_at	ribosomal RNA processing 8, methyltransferase, homolog (yeast)
101869_at	unc-45 homolog A (C. elegans)
101883_at	transmembrane protein 149
101943_at	splicing factor 3b, subunit 3
101966_at	DNA segment, Chr 8, ERATO Doi 738, expressed
101985_at	expressed sequence AA960436
101994_at	zinc finger protein 828
102022_at	carboxylesterase 2A
102032_at	expressed sequence AI316807
102058_at	exocyst complex component 8
102060_at	growth arrest and DNA-damage-inducible, gamma interacting protein 1
102075_at	pleckstrin homology domain containing, family G (with RhoGef domain) member 4
102093_at	phosphorylase kinase beta
102098_at	rho/rac guanine nucleotide exchange factor (GEF) 18
102103_at	mitochondrial tumor suppressor 1
102115_at	deoxyhypusine hydroxylase/monooxygenase
102122_at	family with sequence similarity 192, member A
102124_at	RIKEN cDNA E130303B06 gene
102141_at	sorting nexin 25
102162_at	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor
102182_at	protein arginine methyltransferase 10 (putative)
102193_at	zinc finger, DHHC domain containing 7
102209_at	small nuclear RNA activating complex, polypeptide 2
102247_at	1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)
102278_at	copine VII
102294_at	cytochrome P450, family 4, subfamily v, polypeptide 3
102323_at	DCN1, defective in cullin neddylation 1, domain containing 2 (S. cerevisiae)
102334_at	ankyrin repeat domain 10
102339_at	component of oligomeric golgi complex 4
102371_at	myocardial zonula adherens protein
